AMTG,Apollo Residential Mortgage Inc.,NYFIN
AGM,Federal Agricultural Mortgage Corp. Cl C,NYFIN
FXCM,FXCM Inc.,NYFIN
AI,Arlington Asset Investment Corp. Cl A,NYFIN
CLDT,Chatham Lodging Trust,NYFIN
MN,Manning & Napier Inc.,NYFIN
ART,Artio Global Investors Inc. Cl A,NYFIN
FBC,Flagstar Bancorp Inc.,NYFIN
WD,Walker & Dunlop Inc.,NYFIN
NOAH,Noah Holdings Ltd.,NYFIN
JMP,JMP Group Corp.,NYFIN
GKK,Gramercy Capital Corp.,NYFIN
MPG,MPG Office Trust Inc.,NYFIN
STAG,STAG Industrial Inc.,NYFIN
ABR,Arbor Realty Trust Inc.,NYFIN
FMD,First Marblehead Corp.,NYFIN
XIN,Xinyuan Real Estate Co. Ltd.,NYFIN
FBP,First BanCorp (Puerto Rico),NYFIN
GCAP,GAIN Capital Holdings Inc.,NYFIN
IHC,Independence Holding Co.,NYFIN
CSFS,Cash Store Financial Services Inc.,NYFIN
FX,FX Alliance Inc.,NYFIN
BRT,BRT Realty Trust,NYFIN
UBP,Urstadt Biddle Properties Inc.,NYFIN
CT,Capital Trust Inc. Cl A,NYFIN
PZN,Pzena Investment Management Inc.,NYFIN
FRF,Fortegra Financial Corp.,NYFIN
HRG,Harbinger Group Inc.,NYFIN
IFT,Imperial Holdings Inc.,NYFIN
FCE/B,Forest City Enterprises Inc. Cl B,NYFIN
BBX,BankAtlantic Bancorp Inc. Cl A,NYFIN
KFS,Kingsway Financial Services Inc.,NYFIN
MLP,Maui Land & Pineapple Co. Inc.,NYFIN
CPF,Central Pacific Financial Corp.,NYFIN
FAC,First Acceptance Corp.,NYFIN
CTC,IFM Investments Ltd.,NYFIN
SYSW,Syswin Inc.,NYFIN
ARL,American Realty Investors Inc.,NYFIN
TCI,Transcontinental Realty Investors,NYFIN
