Date,Open,High,Low,Close,Volume,Adj Close
2008-05-01,68.46,68.75,68.03,68.50,5720900,58.88
2008-04-30,67.81,69.39,67.81,68.53,6561300,58.90
2008-04-29,68.21,68.50,67.78,68.20,4848400,58.62
2008-04-28,67.55,68.70,67.29,68.16,8480400,58.58
2008-04-25,68.30,68.35,67.21,67.62,8427200,58.12
2008-04-24,68.81,69.59,68.00,68.00,10145400,58.45
2008-04-23,69.10,69.97,68.79,69.19,7170900,59.47
2008-04-22,69.74,69.85,68.63,69.10,7486600,59.39
2008-04-21,70.09,70.77,69.83,69.90,5314300,60.08
2008-04-18,71.55,71.59,69.86,70.60,8110400,60.68
2008-04-17,70.77,71.28,70.37,70.77,4670800,60.83
2008-04-16,71.68,71.68,70.39,71.11,7591500,61.12
2008-04-15,71.25,71.46,70.78,71.22,3739900,61.21
2008-04-14,71.40,71.87,70.92,70.95,4760600,60.98
2008-04-11,71.69,71.83,71.11,71.40,4302000,61.37
2008-04-10,70.84,72.08,70.74,71.70,6035600,61.63
2008-04-09,71.18,71.33,70.62,70.97,4305200,61.00
2008-04-08,71.40,71.69,71.13,71.28,5376700,61.27
2008-04-07,71.91,72.06,71.15,71.86,5689100,61.76
2008-04-04,71.50,72.12,71.30,71.53,4569600,61.48
2008-04-03,71.06,71.90,71.06,71.40,4699100,61.37
2008-04-02,71.70,71.93,71.24,71.42,5123100,61.39
2008-04-01,71.89,72.17,71.04,72.13,6937200,62.00
2008-03-31,71.80,72.35,71.28,72.20,6499000,62.06
2008-03-28,71.40,72.00,71.40,71.56,3770100,61.51
2008-03-27,71.44,71.90,70.94,71.19,5078000,61.19
2008-03-26,71.31,71.75,71.06,71.16,3740700,61.16
2008-03-25,71.50,72.21,71.19,71.54,4777300,61.49
2008-03-24,71.40,71.92,70.86,71.45,4580400,61.41
2008-03-20,70.50,71.42,70.00,71.19,7360200,61.19
2008-03-19,70.00,71.50,69.73,70.18,6252600,60.32
2008-03-18,70.32,70.36,69.17,70.02,7871800,60.18
2008-03-17,68.00,70.05,67.95,69.15,9426100,59.43
2008-03-14,69.75,69.75,68.03,68.45,7798000,58.83
2008-03-13,68.63,69.74,68.26,69.24,6734000,59.51
2008-03-12,69.97,70.32,69.40,69.56,6049100,59.79
2008-03-11,70.43,70.43,68.98,69.95,7215600,60.12
2008-03-10,69.79,69.79,68.83,69.02,4702000,59.32
2008-03-07,69.84,70.31,69.29,69.59,7205600,59.81
2008-03-06,70.00,70.90,69.96,70.12,6138800,60.27
2008-03-05,70.33,70.72,69.00,70.28,6690200,60.41
2008-03-04,69.32,70.36,69.32,70.04,5965200,59.88
2008-03-03,69.55,70.25,69.17,70.17,5024400,59.99
2008-02-29,70.42,70.67,69.35,69.56,5893400,59.47
2008-02-28,71.21,71.21,70.35,71.06,4804800,60.75
2008-02-27,71.01,71.72,71.01,71.20,4520400,60.87
2008-02-26,71.11,71.56,70.91,71.33,4673000,60.98
